Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
3724;6771;"ORANGE service fixe";"Plan passif ou miroir";1087069;4.00;"Directif";269.70;9.00;"FH";10.70;11.70;"GHz"
3724;6771;"ORANGE service fixe";"Plan passif ou miroir";1087069;4.00;"Directif";269.70;9.00;"FH";10.70;11.70;"GHz"
3724;6771;"ORANGE service fixe";"Plan passif ou miroir";1087069;4.00;"Directif";269.70;9.00;"FH";10.70;11.70;"GHz"
3724;6771;"ORANGE service fixe";"Plan passif ou miroir";1087069;4.00;"Directif";269.70;9.00;"FH";10.70;11.70;"GHz"
3724;6771;"ORANGE service fixe";"Plan passif ou miroir";1087071;4.00;"Directif";312.40;9.00;"FH";10.70;11.70;"GHz"
3724;6771;"ORANGE service fixe";"Plan passif ou miroir";1087071;4.00;"Directif";312.40;9.00;"FH";10.70;11.70;"GHz"
3724;6771;"ORANGE service fixe";"Plan passif ou miroir";1087071;4.00;"Directif";312.40;9.00;"FH";10.70;11.70;"GHz"
3724;6771;"ORANGE service fixe";"Plan passif ou miroir";1087071;4.00;"Directif";312.40;9.00;"FH";10.70;11.70;"GHz"
3732;9957;"ORANGE service fixe";"Antenne parabolique";680378;1.20;"Directif";205.60;7.00;"FH";17.70;18.10;"GHz"
3732;9957;"ORANGE service fixe";"Antenne parabolique";680378;1.20;"Directif";205.60;7.00;"FH";18.60;18.80;"GHz"
3732;9957;"ORANGE service fixe";"Antenne parabolique";4551803;0.60;"Directif";205.60;8.00;"FH";17.70;18.10;"GHz"
3732;9957;"ORANGE service fixe";"Antenne parabolique";4551803;0.60;"Directif";205.60;8.00;"FH";17.70;18.10;"GHz"
3732;9957;"ORANGE service fixe";"Antenne parabolique";4551803;0.60;"Directif";205.60;8.00;"FH";18.60;18.80;"GHz"
3732;9957;"ORANGE service fixe";"Antenne parabolique";4551803;0.60;"Directif";205.60;8.00;"FH";18.80;19.30;"GHz"
3734;9959;"ORANGE service fixe";"Antenne parabolique";60734;0.60;"Directif";89.20;10.50;"FH";10.70;11.70;"GHz"
3742;51412;"ORANGE service fixe";"Antenne parabolique";1785980;0.30;"Directif";135.90;8.00;"FH";37.50;38.00;"GHz"
3742;51412;"ORANGE service fixe";"Antenne parabolique";1785980;0.30;"Directif";135.90;8.00;"FH";38.50;39.50;"GHz"
3742;51412;"ORANGE service fixe";"Antenne parabolique";3864067;0.30;"Directif";161.40;8.00;"FH";37.50;38.00;"GHz"
3742;51412;"ORANGE service fixe";"Antenne parabolique";3864067;0.30;"Directif";161.40;8.00;"FH";38.50;39.50;"GHz"
3742;51412;"ORANGE service fixe";"Antenne parabolique";4655055;1.80;"Directif";231.40;12.00;"FH";10.70;11.70;"GHz"
3742;51412;"ORANGE service fixe";"Antenne parabolique";4655055;1.80;"Directif";231.40;12.00;"FH";10.70;11.70;"GHz"
3742;51412;"ORANGE service fixe";"Antenne parabolique";4655055;1.80;"Directif";231.40;12.00;"FH";10.70;11.70;"GHz"
3742;51412;"ORANGE service fixe";"Antenne parabolique";5014518;0.30;"Directif";135.90;8.00;"FH";37.50;38.00;"GHz"
3742;51412;"ORANGE service fixe";"Antenne parabolique";5014518;0.30;"Directif";135.90;8.00;"FH";38.50;39.50;"GHz"
22460;5964;"ORANGE service fixe";"Antenne parabolique";175536;3.00;"Directif";254.00;15.00;"FH";8025.00;8175.00;"MHz"
22460;5964;"ORANGE service fixe";"Antenne parabolique";175536;3.00;"Directif";254.00;15.00;"FH";8215.00;8400.00;"MHz"
22460;5964;"ORANGE service fixe";"Antenne parabolique";175538;1.80;"Directif";328.80;20.50;"FH";12.80;13.20;"GHz"
22460;5964;"ORANGE service fixe";"Antenne parabolique";175546;0.60;"Directif";86.50;27.00;"FH";12.80;13.20;"GHz"
22460;5964;"ORANGE service fixe";"Antenne parabolique";2237871;0.30;"Directif";75.90;23.00;"FH";37.50;38.00;"GHz"
22460;5964;"ORANGE service fixe";"Antenne parabolique";2237871;0.30;"Directif";75.90;23.00;"FH";38.50;39.50;"GHz"
22460;5964;"ORANGE service fixe";"Antenne parabolique";4092837;1.20;"Directif";328.80;20.00;"FH";10.70;11.70;"GHz"
22460;5964;"ORANGE service fixe";"Antenne parabolique";4092837;1.20;"Directif";328.80;20.00;"FH";10.70;11.70;"GHz"
