Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
8641;6044;"ORANGE service fixe";"Antenne parabolique";4374573;1.20;"Directif";253.90;22.00;"FH";17.70;18.10;"GHz"
8641;6044;"ORANGE service fixe";"Antenne parabolique";4374573;1.20;"Directif";253.90;22.00;"FH";18.60;18.80;"GHz"
8641;6044;"ORANGE service fixe";"Antenne parabolique";4374573;1.20;"Directif";253.90;22.00;"FH";18.80;19.30;"GHz"
8641;6044;"ORANGE service fixe";"Antenne parabolique";4374575;0.60;"Directif";30.70;17.00;"FH";22.40;22.50;"GHz"
8641;6044;"ORANGE service fixe";"Antenne parabolique";4374575;0.60;"Directif";30.70;17.00;"FH";22.40;22.50;"GHz"
8641;6044;"ORANGE service fixe";"Antenne parabolique";4374575;0.60;"Directif";30.70;17.00;"FH";23.40;23.50;"GHz"
8641;6044;"ORANGE service fixe";"Antenne parabolique";4374577;0.90;"Directif";153.50;19.00;"FH";10.70;11.70;"GHz"
8641;6044;"ORANGE service fixe";"Antenne parabolique";4374577;0.90;"Directif";153.50;19.00;"FH";10.70;11.70;"GHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 700";703.00;708.00;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 700";758.00;763.00;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 800";801.00;811.00;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 800";842.00;852.00;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"UMTS 900";904.90;914.90;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"GSM 900";904.90;914.90;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"UMTS 900";949.90;959.90;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"GSM 900";949.90;959.90;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 1800";1730.00;1750.00;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 1800";1825.00;1845.00;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 2100";1920.50;1935.30;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 2100";1959.90;1964.90;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 2100";2110.50;2125.30;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 2100";2149.90;2154.90;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 2600";2500.00;2515.00;"MHz"
26969;102720;"SFR";"Panneau";12532;2.60;"Directif";90.00;15.00;"LTE 2600";2620.00;2635.00;"MHz"
26969;102720;"SFR";"Antenne parabolique";12533;0.30;"Directif";99.40;14.70;"FH";23.10;23.40;"GHz"
26969;102720;"SFR";"Antenne parabolique";4091422;0.90;"Directif";4.50;4.00;"FH";6425.00;6700.00;"MHz"
26969;102720;"SFR";"Antenne parabolique";4091422;0.90;"Directif";4.50;4.00;"FH";6700.00;7075.00;"MHz"
26969;762686;"EDF";"Yagi";1872021;1.60;"Directif";31.00;15.00;"FH";1377.00;1400.00;"MHz"
26969;762686;"EDF";"Yagi";1872021;1.60;"Directif";31.00;15.00;"FH";1429.00;1452.00;"MHz"
26969;762686;"EDF";"Groundplane";1872023;1.60;"Non Directif";;15.00;"COM TER";75.20;77.50;"MHz"
26969;762686;"EDF";"Groundplane";1872023;1.60;"Non Directif";;15.00;"COM TER";80.00;82.50;"MHz"
26969;1420699;"BOUYGUES TELECOM";"Panneau";750012532;2.60;"Directif";90.00;15.00;"LTE 800";791.00;801.00;"MHz"
26969;1420699;"BOUYGUES TELECOM";"Panneau";750012532;2.60;"Directif";90.00;15.00;"LTE 800";832.00;842.00;"MHz"
