Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
21422;23120;"ORANGE service fixe";"Antenne parabolique";99317;1.20;"Directif";249.20;31.00;"FH";8025.00;8175.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";99317;1.20;"Directif";249.20;31.00;"FH";8215.00;8400.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452709;3.00;"Directif";138.60;45.00;"FH";6425.00;6700.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452709;3.00;"Directif";138.60;45.00;"FH";6425.00;6700.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452709;3.00;"Directif";138.60;45.00;"FH";6425.00;6700.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452709;3.00;"Directif";138.60;45.00;"FH";6425.00;6700.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452709;3.00;"Directif";138.60;45.00;"FH";6700.00;7075.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452709;3.00;"Directif";138.60;45.00;"FH";6700.00;7075.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452709;3.00;"Directif";138.60;45.00;"FH";6700.00;7075.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452709;3.00;"Directif";138.60;45.00;"FH";6700.00;7075.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452711;3.00;"Directif";138.60;39.00;"FH";6425.00;6700.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452711;3.00;"Directif";138.60;39.00;"FH";6425.00;6700.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452711;3.00;"Directif";138.60;39.00;"FH";6425.00;6700.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452711;3.00;"Directif";138.60;39.00;"FH";6425.00;6700.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452711;3.00;"Directif";138.60;39.00;"FH";6700.00;7075.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452711;3.00;"Directif";138.60;39.00;"FH";6700.00;7075.00;"MHz"
21422;23120;"ORANGE service fixe";"Antenne parabolique";3452711;3.00;"Directif";138.60;39.00;"FH";6700.00;7075.00;"MHz"
