Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
13046;7263;"ORANGE service fixe";"Antenne parabolique";72474;1.80;"Directif";66.80;12.00;"FH";6425.00;6700.00;"MHz"
13046;7263;"ORANGE service fixe";"Antenne parabolique";72474;1.80;"Directif";66.80;12.00;"FH";6700.00;7075.00;"MHz"
13046;7263;"ORANGE service fixe";"Antenne parabolique";1604331;1.20;"Directif";22.20;14.00;"FH";6425.00;6700.00;"MHz"
13046;7263;"ORANGE service fixe";"Antenne parabolique";1604331;1.20;"Directif";22.20;14.00;"FH";6700.00;7075.00;"MHz"
13046;7263;"ORANGE service fixe";"Antenne parabolique";2040539;1.80;"Directif";66.80;12.00;"FH";6700.00;7075.00;"MHz"
13046;7263;"ORANGE service fixe";"Antenne parabolique";2040539;1.80;"Directif";66.80;12.00;"FH";6700.00;7075.00;"MHz"
13046;7263;"ORANGE service fixe";"Antenne parabolique";3512883;0.60;"Directif";22.20;8.00;"FH";10.70;11.70;"GHz"
13046;7263;"ORANGE service fixe";"Antenne parabolique";3512883;0.60;"Directif";22.20;8.00;"FH";10.70;11.70;"GHz"
13046;7263;"ORANGE service fixe";"Antenne parabolique";3512883;0.60;"Directif";22.20;8.00;"FH";10.70;11.70;"GHz"
13046;7263;"ORANGE service fixe";"Antenne parabolique";3512883;0.60;"Directif";22.20;8.00;"FH";10.70;11.70;"GHz"
13072;19207;"ORANGE service fixe";"Antenne parabolique";72800;1.10;"Directif";99.80;5.00;"FH";14.30;14.40;"GHz"
13072;19207;"ORANGE service fixe";"Antenne parabolique";72800;1.10;"Directif";99.80;5.00;"FH";14.47;14.50;"GHz"
13074;19208;"ORANGE service fixe";"Plan passif ou miroir";72802;2.00;"Directif";279.80;30.00;"FH";14.30;14.40;"GHz"
13074;19208;"ORANGE service fixe";"Plan passif ou miroir";72802;2.00;"Directif";279.80;30.00;"FH";14.47;14.50;"GHz"
13074;19208;"ORANGE service fixe";"Plan passif ou miroir";72804;2.00;"Directif";230.60;30.00;"FH";14.30;14.40;"GHz"
13074;19208;"ORANGE service fixe";"Plan passif ou miroir";72804;2.00;"Directif";230.60;30.00;"FH";14.47;14.50;"GHz"
13088;20226;"ORANGE service fixe";"Antenne parabolique";72876;2.00;"Directif";22.70;15.00;"FH";14.25;14.30;"GHz"
13088;20226;"ORANGE service fixe";"Antenne parabolique";72876;2.00;"Directif";22.70;15.00;"FH";14.40;14.47;"GHz"
13094;24605;"ORANGE service fixe";"Antenne parabolique";73461;1.20;"Directif";200.00;20.00;"FH";6425.00;6700.00;"MHz"
